t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
46.228,0.002649,-0.000223,-0.001095,-0.005,0.9864,16.863,5.019,1747,86400,1,0.002,0
46.631,0.003092,-0.000357,-0.000306,0.017,0.9831,16.178,5.350,1747,86400,1,0.105,0
47.053,0.002472,-0.000603,-0.001425,0.009,0.9910,16.149,5.282,1747,82656,1,0.222,0
47.456,0.003665,-0.001156,-0.001554,0.007,0.9665,15.425,4.047,1747,86304,1,0.201,0
47.873,0.002935,-0.002013,-0.001857,0.021,0.9799,15.507,4.064,1747,86400,1,0.132,0
48.290,0.003174,-0.001514,-0.001194,0.012,0.9763,19.282,3.916,1747,86304,1,0.058,0
48.698,0.002979,-0.000551,-0.000794,0.004,0.9760,12.084,3.892,1747,86400,1,0.069,0
49.099,0.003338,0.000778,-0.000255,-0.009,0.9841,17.386,5.038,1747,86400,1,0.256,0
49.501,0.003113,0.000361,-0.000192,0.005,0.9844,13.040,5.580,1747,86400,1,0.059,0
49.911,0.002811,-0.001010,-0.001475,-0.004,0.9843,15.067,5.642,1747,86400,1,0.084,0
50.324,0.003052,-0.000438,-0.001322,0.020,0.9875,17.388,5.532,1747,86400,1,0.074,0
50.729,0.003069,-0.000064,-0.000113,0.005,0.9832,16.873,5.778,1747,86400,1,0.095,0
51.141,0.002965,-0.000950,-0.001885,0.008,0.9865,15.735,7.205,1747,86400,1,0.104,0
51.568,0.003980,-0.001634,-0.001689,0.017,0.9877,15.277,6.381,1747,86400,1,0.042,0
51.972,0.002886,-0.000881,-0.001018,0.016,0.9864,18.661,6.330,1747,86304,1,0.234,0
52.372,0.003660,-0.000204,-0.001906,0.003,0.9854,16.618,6.423,1747,86400,1,0.043,0
52.777,0.003660,-0.000204,-0.001906,0.003,0.9854,18.717,5.427,1747,86400,1,0.448,0
53.218,0.003724,-0.001529,-0.001361,0.023,0.9844,20.201,3.891,1747,86400,1,0.149,0
53.624,0.003724,-0.001529,-0.001361,0.023,0.9844,13.680,3.756,1747,86400,1,0.555,0
54.027,0.003573,0.002070,-0.001124,0.010,0.9809,13.808,4.223,1747,86400,1,0.005,0
54.431,0.003573,0.002070,-0.001124,0.010,0.9809,13.896,4.683,1747,86400,1,0.408,0
54.840,0.003573,0.002070,-0.001124,0.010,0.9809,14.531,4.683,1747,86304,1,0.818,0
55.260,0.001286,0.000132,-0.001519,0.000,0.9819,20.071,3.743,1747,82656,1,0.021,0
55.673,0.001286,0.000132,-0.001519,0.000,0.9819,15.218,3.470,1747,86400,1,0.435,0
56.076,0.002766,0.001451,-0.001158,-0.013,0.9899,14.760,3.991,1747,82656,1,0.231,0
56.521,0.001832,0.000566,-0.001386,0.004,0.9866,15.886,3.140,1747,86400,1,0.085,0
56.971,0.002869,0.000480,-0.000082,-0.010,0.9853,13.891,3.760,1747,86400,1,0.340,0
57.400,0.002737,0.000077,-0.000487,0.009,0.9864,15.522,4.067,1747,86400,1,0.168,0
57.813,0.003091,-0.000963,-0.001995,0.015,0.9843,14.315,3.355,1747,86304,1,0.179,0
58.233,0.003706,-0.001430,-0.002021,0.016,0.9865,14.222,4.274,1747,86400,1,0.393,0
58.633,0.003281,-0.000841,-0.001555,0.013,0.9832,14.757,3.806,1747,86400,1,0.003,0
59.036,0.003157,-0.000668,-0.000202,0.022,0.9853,16.070,4.042,1747,82656,1,0.003,0
59.472,0.003600,-0.001039,-0.001108,0.001,0.9921,17.785,4.460,1747,86400,1,0.044,0
59.900,0.003208,-0.000167,-0.001038,0.003,0.9842,16.067,5.652,1747,86304,1,0.064,0
60.311,0.003042,-0.001888,-0.000911,0.014,0.9788,18.891,5.237,1747,86400,1,0.077,0
60.720,0.003028,-0.000581,-0.000760,-0.001,0.9853,19.038,5.287,1747,86400,1,0.094,0
61.123,0.003623,-0.001024,-0.001027,0.016,0.9933,16.850,5.255,1747,86400,1,0.283,0
61.529,0.003540,-0.001393,-0.001249,0.026,0.9855,15.749,5.022,1747,86400,1,0.406,0
61.935,0.003692,-0.001288,-0.000762,0.014,0.9899,16.510,3.990,1747,86304,1,0.404,0
62.374,0.003103,-0.002017,-0.001160,0.016,0.9854,17.803,3.153,1747,86400,1,0.045,0
62.801,0.003821,-0.001255,-0.000943,0.005,0.9878,15.075,3.886,1747,86400,1,0.160,0
